param_n_estimators,param_learning_rate,param_subsample,param_colsample_bytree,param_scale_pos_weight,AUC Train,AUC Test 1,AUC Test 2
50,0.01,0.5,0.5,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.01,0.8,0.5,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.01,0.5,0.5,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.01,0.8,0.5,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.01,0.5,0.5,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.01,0.8,0.5,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.01,0.5,0.5,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.01,0.8,0.5,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.01,0.5,0.5,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.01,0.8,0.5,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.01,0.5,0.5,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.01,0.8,0.5,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.01,0.5,0.5,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.01,0.8,0.5,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.01,0.5,0.5,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.01,0.8,0.5,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.01,0.5,0.5,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.01,0.8,0.5,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.1,0.5,0.5,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.1,0.8,0.5,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.1,0.5,0.5,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.1,0.8,0.5,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.1,0.5,0.5,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.1,0.8,0.5,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.1,0.5,0.5,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.1,0.8,0.5,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.1,0.5,0.5,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.1,0.8,0.5,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.1,0.5,0.5,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.1,0.8,0.5,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.1,0.5,0.5,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.1,0.8,0.5,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.1,0.5,0.5,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.1,0.8,0.5,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.1,0.5,0.5,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.1,0.8,0.5,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.01,0.5,1.0,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.01,0.8,1.0,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.01,0.5,1.0,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.01,0.8,1.0,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.01,0.5,1.0,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.01,0.8,1.0,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.01,0.5,1.0,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.01,0.8,1.0,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.01,0.5,1.0,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.01,0.8,1.0,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.01,0.5,1.0,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.01,0.8,1.0,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.01,0.5,1.0,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.01,0.8,1.0,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.01,0.5,1.0,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.01,0.8,1.0,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.01,0.5,1.0,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
300,0.01,0.8,1.0,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.1,0.5,1.0,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.1,0.8,1.0,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.1,0.5,1.0,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.1,0.8,1.0,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.1,0.5,1.0,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
50,0.1,0.8,1.0,10,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.1,0.5,1.0,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.1,0.8,1.0,1,0.9635129895251996,0.9514194168590089,0.9528907777661467
100,0.1,0.5,1.0,5,0.9635129895251996,0.9514194168590089,0.9528907777661467
